"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P013_2","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P100_2","P113"
"1.274"," 0.271343268"," 0.428965543","-0.220315544"," 0.304259168","-0.434852402"," 0.041530440","-0.193878091"," 0.271343268"," 0.384678696","-0.074490626"," 0.077251672"," 0.384678696"," 0.342037644","-0.193878091"," 0.217032033","-0.465030298","-0.041956252","-0.271290303"," 0.534969702"," 0.066516600","-0.176208238"," 0.240147972"," 0.494198872","-0.096252525"," 0.008913775","-0.063501204","-0.063501204","-0.236085252","-0.085480048","-0.423601149","-0.400919102"," 0.008913775"," 0.466968446","-0.382344061","-0.013005222","-0.252169158","-0.176208238","-0.207612999","-0.207612999","-0.236085252"," 0.342037644"," 0.136163652","-0.107025001","-0.107025001"," 0.054023520"," 0.428965543","-0.423601149","-0.310340530"," 0.271343268"," 0.087986744"
"1.33965","-0.08531989","-0.09755407","-0.01169977","-0.10167363","-0.01169977","-0.11077287","-0.09138605","-0.06503899","-0.10742290","-0.09138605","-0.08531989","-0.09138605","-0.09447006","-0.08531989","-0.11412284","-0.01169977","-0.04335472","-0.04335472","-0.06503899","-0.09138605","-0.09138605","-0.02109327","-0.05762605","-0.04335472","-0.07885761"," 0.87371088"," 0.04133388"," 0.20063853"," 0.14424360"," 0.05760273","-0.05762605"," 0.09890583","-0.09755407"," 0.08669428","-0.08531989","-0.09138605","-0.07012053","-0.07012053"," 0.02567050"," 0.30454419"," 0.14424360","-0.10167363"," 0.23811066"," 0.16980975"," 0.07387159","-0.07448907","-0.12057380","-0.12057380","-0.12628912"," 0.34807116"
"1.3622","-0.0432588208"," 0.0264718807","-0.2268920808"," 0.0810397864","-0.2623385208"," 0.0621089905","-0.1739040113","-0.1090853293","-0.0782149667","-0.0782149667","-0.1221598358","-0.2366525631","-0.0302297118","-0.0848657139"," 0.1124776190","-0.2366525631","-0.0009936625","-0.1683927436","-0.1221598358","-0.0782149667","-0.2096137573","-0.1905558481","-0.1905558481","-0.0915164612","-0.2719537308"," 0.4762258258"," 0.2912760355","-0.1354976484"," 0.0810397864"," 0.2653540104"," 0.1010147270"," 0.7105681963","-0.0508402186"," 0.1368788247"," 0.1498171385"," 0.1498171385"," 0.3467064955","-0.1221598358"," 0.1766925130"," 0.0264718807"," 0.2653540104","-0.1628814760","-0.2894318037","-0.0302297118","-0.0201514464","-0.1628814760","-0.0915164612","-0.0100731809"," 0.5606653471"," 0.0621089905"
"1.4369","-0.13560059","-0.10919758","-0.19701438","-0.09571880","-0.10125777"," 0.21653623","-0.18071887","-0.19111624","-0.09017984","-0.21517512"," 0.04852735","-0.15437887"," 0.01815444","-0.13560059","-0.13560059"," 0.02307586","-0.10919758","-0.10919758","-0.16864532","-0.18656660","-0.05035477","-0.06923387","-0.04319634","-0.18071887","-0.10125777"," 0.13533593"," 0.20888628"," 0.15931919"," 0.17088863","-0.02261585","-0.00350990","-0.15437887"," 0.13533593"," 0.01213656","-0.14327574"," 0.15931919","-0.10919758"," 0.05502413"," 0.04852735"," 0.09636785"," 0.78482488"," 0.08613432"," 0.69553354","-0.15437887"," 0.22418617"," 0.08613432"," 0.01815444","-0.16037783"," 0.24404829","-0.11878836"
"1.4781"," 0.057007772","-0.106114688","-0.064517934","-0.172128911","-0.121075478"," 0.012041154","-0.050933171","-0.209064020","-0.064517934","-0.100582495"," 0.156453850","-0.074627525","-0.057725553","-0.276004957","-0.100582495"," 0.082492365","-0.050933171","-0.089995507","-0.095050302","-0.100582495","-0.110376161","-0.013618953"," 0.026082253","-0.110376161"," 0.097937573"," 0.115664460"," 0.174286045"," 0.355170494"," 0.067854520","-0.008581709","-0.159383104","-0.013618953","-0.057725553"," 0.272152500","-0.064517934","-0.003544465","-0.084940711"," 0.012041154"," 0.019061704","-0.045790619"," 0.718764734"," 0.019061704"," 0.496459046"," 0.097937573"," 0.156453850"," 0.019061704","-0.106114688","-0.121075478","-0.281235266","-0.040648067"
"1.4929"," 0.06618144","-0.08874842","-0.04679103","-0.16969867","-0.11349954","-0.18544939","-0.03700943","-0.19233323","-0.17240948","-0.10737686"," 0.01310040","-0.08874842","-0.05325090","-0.24092742","-0.06932544","-0.07422959","-0.03700943","-0.05971076","-0.09927115","-0.09400979","-0.08874842","-0.02973166"," 0.01310040","-0.12356491"," 0.08010269"," 0.03997476"," 0.21564295"," 0.37071302"," 0.05586569"," 0.01310040"," 0.01310040","-0.02245388","-0.03700943"," 0.27546761","-0.06932544"," 0.01310040","-0.05971076"," 0.06618144"," 0.06102356","-0.02245388"," 0.13067990","-0.14634302"," 0.29733433"," 0.11165085"," 0.16740263"," 0.01977726","-0.07913374","-0.12750759"," 0.75907258","-0.04679103"
"1.8554","-0.044426969","-0.005148913"," 0.077224264","-0.094661412"," 0.249251314","-0.111637921","-0.084894913","-0.094661412","-0.089147876"," 0.005206640","-0.079428501","-0.021536368"," 0.005206640"," 0.049126434"," 0.005206640","-0.049616526","-0.094661412","-0.098749440","-0.073867840"," 0.049126434"," 0.013983530","-0.094661412"," 0.077224264"," 0.095225725","-0.044426969"," 0.009595085","-0.049616526","-0.087021394","-0.005148913"," 0.024786763"," 0.035743149","-0.060413869"," 0.888362079"," 0.042434792","-0.057609976","-0.017053675"," 0.203352301","-0.101111543","-0.071005042","-0.091904644","-0.087021394"," 0.115677647","-0.068142245","-0.064278057"," 0.243843807","-0.096705426","-0.076648170","-0.068142245","-0.057609976","-0.049616526"
"1.9242","-0.093135532","-0.046380199","-0.207402083","-0.112139229"," 0.057620196","-0.104678133","-0.029521242","-0.082736792","-0.112139229","-0.059833568"," 0.099501120","-0.051800542"," 0.319538452","-0.278550260","-0.022957038","-0.132156803","-0.233372935","-0.001574629","-0.164959627","-0.202629061","-0.093135532"," 0.013815506"," 0.050653041","-0.157321753","-0.104678133"," 0.721449740","-0.029521242"," 0.265620987","-0.112139229","-0.072208068"," 0.079431553","-0.093135532","-0.161140690"," 0.079431553","-0.066020818"," 0.173163193"," 0.459713463"," 0.079431553"," 0.265620987","-0.016392833","-0.112139229"," 0.160983669","-0.040959856"," 0.233696856","-0.001574629"," 0.050653041"," 0.064587352"," 0.050653041","-0.108408681","-0.120822176"
"1.93875","-0.21693540","-0.11956855","-0.13187590","-0.13481624"," 0.15494254","-0.19241279"," 0.04324892"," 0.04324892","-0.13481624"," 0.03380956","-0.25357459"," 0.12386172","-0.09922952","-0.20600284","-0.27997849"," 0.25739414","-0.14931405","-0.03775198","-0.25044349","-0.13187590"," 0.07100787","-0.12490985","-0.09576294","-0.09922952","-0.19988535","-0.14453846"," 0.00848444"," 0.00848444","-0.18661762","-0.13775659"," 0.72002151","-0.09229636","-0.22271742"," 0.47134203"," 0.19316044","-0.00115226"," 0.07100787"," 0.17368970"," 0.30156509","-0.25044349"," 0.09998375"," 0.44404353","-0.15525394","-0.19988535"," 0.11700420"," 0.20986844"," 0.23976523"," 0.27617420"," 0.37934937","-0.19241279"
"2.1275","-0.06113916","-0.07017701","-0.22853635","-0.23845771"," 0.29970550","-0.25050563"," 0.21911832","-0.22853635","-0.08169711","-0.05831268","-0.22481871"," 0.19135074"," 0.27706306","-0.24775947","-0.10546402"," 0.11439707","-0.23569625","-0.08511642","-0.21980065","-0.23214690"," 0.12537406","-0.04031348","-0.23569625","-0.22481871"," 0.19135074"," 0.03117848"," 0.10162245"," 0.74949437","-0.14867588","-0.09300303","-0.04442507","-0.18391699","-0.18873615","-0.02575653","-0.18391699"," 0.03668610","-0.17149425"," 0.25526207"," 0.46799385","-0.21980065","-0.21980065"," 0.46799385"," 0.23594716","-0.16447968","-0.20942032"," 0.37440258"," 0.46799385"," 0.29970550"," 0.17314500","-0.15736568"
"2.152","-0.068301666","-0.019687101","-0.024981674","-0.048874557"," 0.088886903"," 0.003266732","-0.056612903","-0.026148275","-0.050739195","-0.019687101","-0.023234978","-0.026148275","-0.015773860"," 0.175773027","-0.061727678","-0.026148275","-0.042844449","-0.031500537","-0.039679563","-0.015773860","-0.027776388","-0.054754354","-0.047951532","-0.017212882","-0.003329049","-0.017212882","-0.040961542"," 0.030653008","-0.019687101"," 0.009913793","-0.055592768","-0.049816171"," 0.931698334","-0.033119036"," 0.070073861"," 0.009913793"," 0.014349441","-0.034529212","-0.045772168","-0.047951532","-0.041673040","-0.016493371","-0.006630145","-0.029673717","-0.021517126","-0.047951532","-0.015773860","-0.024981674","-0.006630145","-0.029673717"
"2.1864","-0.2030557870","-0.0330250580"," 0.0697109863","-0.1469955474"," 0.1815179043"," 0.1025005151","-0.2241853236","-0.1403749294","-0.2284766307"," 0.0088577418"," 0.0195188181","-0.0427902456","-0.0330250580"," 0.4417511938"," 0.3773591887","-0.0493526308"," 0.0512892735","-0.2321721719"," 0.2538161278"," 0.0264395589","-0.1469955474","-0.0742762563"," 0.2538161278","-0.0742762563"," 0.0697109863","-0.1114198045","-0.2016447622","-0.2212468084"," 0.0829701400"," 0.0569445714","-0.1283364241","-0.2047602154"," 0.6316124206","-0.1185488394"," 0.1025005151"," 0.1267119090"," 0.0195188181","-0.2332203618","-0.2138042125"," 0.7667796382","-0.0002131319","-0.1238189050","-0.2212468084"," 0.2097607977"," 0.0512892735","-0.2284766307","-0.1336288870","-0.0742762563","-0.2002337374"," 0.1395007212"
"2.2378","-0.042017653","-0.117750450","-0.112968996","-0.003777349","-0.145132396","-0.053004423","-0.120700147","-0.130077991","-0.070468439","-0.124307010","-0.107704109","-0.137422018","-0.156485518","-0.157675216","-0.153165693","-0.156485518","-0.122503579","-0.122503579","-0.097261201","-0.097261201","-0.132918160","-0.117750450","-0.111598010","-0.092056743","-0.114339982"," 0.242018106"," 0.071116995","-0.053004423"," 0.206893679"," 0.109055153"," 0.304373407"," 0.165386425"," 0.060353057"," 0.206893679"," 0.206893679","-0.053004423","-0.029270885","-0.095865666","-0.089643355"," 0.098763318","-0.081602505"," 0.050816586"," 0.842324784"," 0.042507582"," 0.012160832","-0.081602505","-0.009197086","-0.039298342"," 0.165386425"," 0.544881313"
"2.2673","-0.152519014","-0.152519014","-0.278579458","-0.232163258"," 0.132524549","-0.167253104"," 0.022228817"," 0.035436058"," 0.009021576","-0.143949576","-0.237602657"," 0.090307183","-0.263597255","-0.247240889","-0.152519014","-0.152519014","-0.305156168","-0.152519014","-0.167253104","-0.215425180","-0.107381550","-0.143949576","-0.143949576","-0.131448502","-0.215425180","-0.131448502"," 0.208981497","-0.188380872","-0.069840158"," 0.132524549"," 0.694843832","-0.069840158","-0.143949576"," 0.208981497"," 0.009021576"," 0.252095886"," 0.304085084"," 0.035436058"," 0.479310055"," 0.252095886","-0.030561976"," 0.694843832","-0.198782529","-0.069840158"," 0.208981497"," 0.367277533"," 0.413445620"," 0.367277533","-0.183265929","-0.069840158"
"2.2882","-0.176403955","-0.105177963","-0.222804800","-0.149700347","-0.090219849"," 0.061407536","-0.064007342","-0.073747509","-0.143747795","-0.183635415","-0.192348362"," 0.070595214","-0.164065046","-0.152646952","-0.053417980","-0.029814446","-0.227955220","-0.112012449","-0.006036980","-0.112012449","-0.057684419","-0.211918731","-0.064007342","-0.183635415","-0.082034835","-0.057684419"," 0.167035142","-0.140741849"," 0.022958432","-0.049151541"," 0.367015498","-0.064007342"," 0.262922582"," 0.192163136","-0.040148026"," 0.070595214"," 0.192163136"," 0.033926351"," 0.167035142"," 0.004357988"," 0.083998175"," 0.738819762"," 0.321752371","-0.261180238"," 0.011806351","-0.105177963"," 0.128974827"," 0.033926351"," 0.411071336"," 0.234602433"
"2.34675"," 0.29014706","-0.30905648","-0.30283023","-0.16279970"," 0.41765767","-0.05744935"," 0.68734164"," 0.26517944"," 0.12213932"," 0.16827042","-0.08122517"," 0.62175650","-0.08468019","-0.15104541"," 0.09274157"," 0.31511468","-0.16279970"," 0.19083036"," 0.23561316"," 0.26517944"," 0.21562944","-0.21873486"," 0.10203521"," 0.34843694","-0.14053349"," 0.06608858","-0.26823671","-0.19695983"," 0.13790961"," 0.09274157"," 0.52275279"," 0.04858477","-0.16848663","-0.17699536","-0.27550308"," 0.11132885","-0.26823671","-0.17699536","-0.22308313","-0.29821711","-0.19340128","-0.31265836","-0.29276613","-0.26464927","-0.29276613","-0.20596936","-0.28852380"," 0.52275279","-0.09272183","-0.17290713"
"2.383"," 0.227955296"," 0.090044862"," 0.336220905","-0.073779433","-0.380823179","-0.362089453","-0.213978043"," 0.321905723"," 0.030022544","-0.011063156"," 0.227955296","-0.333836694"," 0.005450026","-0.134015916"," 0.077533167","-0.235067574"," 0.321905723"," 0.179655647","-0.167245173"," 0.288541204","-0.049105470"," 0.401766403","-0.032874083","-0.467029882","-0.065663740"," 0.532970118","-0.260857446"," 0.065021473","-0.113343440","-0.338801921","-0.328871468","-0.245144561"," 0.135413844","-0.328871468","-0.157675417","-0.390731089","-0.245144561"," 0.005450026","-0.264949108"," 0.431974819"," 0.135413844"," 0.048846444"," 0.464155799"," 0.321905723"," 0.507664935"," 0.288541204","-0.049105470","-0.245144561","-0.113343440"," 0.162240720"
"2.4149"," 0.049576180"," 0.176627966","-0.131836658"," 0.085254300"," 0.006401338"," 0.049576180","-0.100240523"," 0.063863128","-0.202250901"," 0.006401338","-0.069429386","-0.131836658","-0.131836658","-0.131836658"," 0.106292223","-0.297149204"," 0.006401338","-0.053062195","-0.217440595","-0.131836658","-0.217440595","-0.015971081"," 0.049576180"," 0.006401338","-0.015971081"," 0.702850796"," 0.029637253"," 0.029637253","-0.182194224"," 0.063863128","-0.160528303","-0.035792258","-0.053062195","-0.251580121"," 0.049576180","-0.015971081"," 0.251830692","-0.173637755","-0.035792258"," 0.159004781"," 0.029637253","-0.069429386"," 0.361612541"," 0.159004781"," 0.491215568","-0.015971081","-0.035792258","-0.149263594"," 0.128703891","-0.035792258"
"2.4547"," 0.290105083"," 0.094177330","-0.100249243","-0.074895990","-0.134278957","-0.062392118","-0.089434198","-0.083092906","-0.077424762","-0.086232278","-0.077424762","-0.127264517","-0.044234994"," 0.103380990","-0.147310029","-0.021893035"," 0.245233517"," 0.128906998","-0.062392118","-0.092636119","-0.131589344","-0.044234994","-0.039540830"," 0.178559106","-0.104651512"," 0.193690042","-0.077424762"," 0.193690042"," 0.236729812","-0.136968571","-0.109488646","-0.214297186","-0.107070079"," 0.152437391"," 0.024300998","-0.182927300","-0.198064193","-0.124193652","-0.102450378","-0.017517573","-0.017517573","-0.121122787"," 0.067936474"," 0.002587509"," 0.136427789"," 0.103380990"," 0.785702814","-0.206350466"," 0.002587509"," 0.276731479"
"2.47135"," 0.010412060"," 0.142461674"," 0.163980502"," 0.082783013","-0.111599859"," 0.163980502"," 0.135543131","-0.242126399"," 0.109494897"," 0.082783013","-0.137402543","-0.008893498"," 0.149380218","-0.091312101","-0.117987484","-0.023679603"," 0.172359074"," 0.023253673"," 0.180737646","-0.143740394"," 0.032976135"," 0.303048207"," 0.219295669"," 0.163980502"," 0.109494897","-0.132219442","-0.202373807"," 0.750845556","-0.177248046","-0.126226689","-0.093764285","-0.206989488","-0.209514673","-0.079263548","-0.209514673","-0.068701570","-0.060021038","-0.249154444","-0.220388567","-0.018450047","-0.036965862","-0.108633347"," 0.109494897","-0.060021038"," 0.109494897"," 0.125289749"," 0.047443689","-0.204464302"," 0.135543131","-0.183419984"
"2.5304"," 0.582505521","-0.049252043"," 0.095881236"," 0.463852811"," 0.095881236"," 0.009970747"," 0.077829199"," 0.402574670"," 0.347590045"," 0.402574670"," 0.463852811"," 0.147376544","-0.087204340"," 0.009970747","-0.042639867","-0.137186017"," 0.677529659"," 0.256294218"," 0.347590045","-0.072275162","-0.112513838"," 0.077829199"," 0.147376544"," 0.463852811","-0.072275162","-0.312980673","-0.055864219","-0.195914886","-0.087204340","-0.296579290","-0.266864331","-0.195914886"," 0.095881236","-0.246486083","-0.042639867","-0.271532686","-0.210971528","-0.254595956","-0.210971528","-0.236575785","-0.271532686","-0.154823797","-0.322470341","-0.322470341","-0.042639867","-0.055864219","-0.291557223","-0.263390947"," 0.212892851","-0.195914886"
"2.56195"," 0.745539200","-0.004747513"," 0.124183966"," 0.220191744"," 0.071945598"," 0.011424403"," 0.071945598"," 0.220191744"," 0.290728216"," 0.456678278"," 0.456678278"," 0.096650903","-0.103389760"," 0.054628261","-0.004747513","-0.049261447"," 0.745539200"," 0.177496166"," 0.290728216","-0.018012923","-0.103389760"," 0.071945598"," 0.071945598"," 0.456678278"," 0.011424403","-0.238483605","-0.172258212","-0.157697045","-0.069843235","-0.212118156","-0.190527681","-0.137129574","-0.193391234","-0.180515984","-0.004747513","-0.184220705","-0.160302878","-0.190527681","-0.227582059","-0.153795454","-0.215231554","-0.223543017","-0.224857388","-0.230951029","-0.194980506","-0.004747513","-0.249491104","-0.254460800","-0.168177649","-0.123413155"
"2.6188","-0.142320035","-0.088934320","-0.177359575","-0.038943220","-0.079259033"," 0.249344725","-0.079259033"," 0.174129224","-0.027119282","-0.044772548","-0.157309736"," 0.210802502","-0.130890228"," 0.822640425"," 0.122955730","-0.060073741","-0.027119282","-0.088934320"," 0.167428993","-0.084096677","-0.088934320","-0.088934320","-0.177359575"," 0.017646401"," 0.167428993"," 0.286253210","-0.139230554"," 0.257062069","-0.084096677","-0.088934320","-0.084096677","-0.151410481"," 0.037073258","-0.084096677","-0.139230554"," 0.092963613","-0.119237928","-0.109766064","-0.151410481"," 0.471037201","-0.050601877","-0.124838406","-0.151410481","-0.151410481"," 0.241627381","-0.001475322"," 0.128117578","-0.161899458"," 0.059144608","-0.130890228"
"2.6713"," 0.731060254"," 0.040923239"," 0.231956420"," 0.344031734"," 0.173700679"," 0.091388392"," 0.173700679"," 0.113807425"," 0.403220362"," 0.403220362"," 0.501004658","-0.240909504","-0.053595957"," 0.231956420","-0.033171713","-0.053595957"," 0.731060254"," 0.270125344","-0.268939746"," 0.040923239","-0.088881867"," 0.173700679"," 0.140841265"," 0.501004658","-0.256793374","-0.256038133","-0.166157562","-0.180696687"," 0.029678988","-0.211926528","-0.180696687","-0.129298649","-0.219659556","-0.166157562"," 0.051631578","-0.194630428","-0.170127289","-0.209582405","-0.240909504","-0.150209185","-0.210754466","-0.231197567","-0.217525828","-0.224468880","-0.187931514"," 0.001146576","-0.250654191","-0.267302233","-0.232638578","-0.085631653"
"2.7019"," 0.58335133","-0.05131660"," 0.14035867"," 0.18734992"," 0.11773749"," 0.05020084"," 0.05020084"," 0.02570819"," 0.28898179"," 0.37042784"," 0.52048930"," 0.46408345","-0.05577056"," 0.14035867","-0.06022451","-0.08415327"," 0.37042784"," 0.28898179"," 0.70507094","-0.06022451","-0.06617401"," 0.14035867"," 0.20586856"," 0.42454542"," 0.28898179","-0.26465035","-0.20669992","-0.20863024","-0.01326595","-0.25017705","-0.23600612","-0.17104214","-0.24467212","-0.15912680","-0.05131660","-0.20863024","-0.21633681","-0.23600612","-0.27434281","-0.18687697","-0.25017705","-0.25829387","-0.25017705","-0.17972122","-0.21978229","-0.01326595","-0.29492906","-0.29005832","-0.16625312","-0.13518169"
"2.72625","-0.18265251"," 0.02085859","-0.18265251"," 0.33262061","-0.18265251","-0.22330357"," 0.14730456"," 0.14730456","-0.16459337","-0.22330357","-0.22330357"," 0.33262061","-0.14281687","-0.19746596","-0.11634772","-0.19746596"," 0.14730456","-0.25534475"," 0.33262061","-0.11634772","-0.03867502"," 0.65519094","-0.11634772","-0.26640888","-0.06942113","-0.21467771","-0.03867502","-0.19746596","-0.03867502"," 0.33262061"," 0.06853664","-0.19746596"," 0.02085859","-0.23236112","-0.09700949"," 0.33262061"," 0.06853664"," 0.14730456"," 0.06853664"," 0.33262061"," 0.33262061"," 0.06853664","-0.34480906"," 0.14730456","-0.06942113","-0.03867502","-0.06942113","-0.03867502"," 0.65519094","-0.21467771"
